Vector1,Vector2,Color,Meaning
17.154139,-4.574823,red,㕣:山间泥沼地
48.069775,-2.8275948,red,㕦:大声；喧哗
-13.59907,-29.962282,red,㕧:《集韻》馨夷切
49.029434,-17.358875,red,㕩:打击声
-4.9078526,-61.910812,red,㕪:鸟叫声
-10.259694,25.814165,red,㕫:如闻
8.466301,1.8286711,red,㕫:表示响度级的单位名
-15.701015,-29.5684,red,㕬:《集韻》沽紅切
45.69399,-28.333263,red,㕭:淫声
82.55847,22.83573,red,㕭:叹词
21.77942,-4.9401455,red,㕮:〔㕮咀〕1.中医用语
39.57969,-22.846014,red,㕰:怒声
14.2389555,-39.342712,red,㕱:狗叫
-6.222068,-4.361337,red,㕲:塞口；满足食欲
-31.861437,0.50533426,red,㕲:〔㕲嗽〕也作“㕲潄”
-12.676325,81.83267,red,㕶:方言
43.47414,-18.569517,red,㕸:〔㕸㕸〕送舟声
52.308826,-17.881826,red,㖀:声
50.18883,12.038386,red,㖂:乐
-13.785885,-58.087223,red,㖃:盛怒声
14.7593155,-55.469425,red,㖃:吐
-13.024192,-14.348691,red,㖅:口吹貌；口哨声
21.377752,11.059127,red,㖆:问罪；审讯
-61.23895,-14.178495,red,㖏:怒
13.622845,-40.72183,red,㖐:《川篇》羊委切
51.125256,-1.24881,red,㖑:吆喝；呵斥
6.27087,30.075348,red,㖔:痴呆的样子
9.35243,4.2950773,red,㖕:〔咕㖕〕一种杂环有机化合物的名称
10.254869,13.743402,red,㖟:口头接受
33.72597,-29.609613,red,㖡:鸟夜鸣
-18.473402,-9.382014,red,㖤:〔㖤㗅〕1.怒貌
14.7593155,-55.469425,red,㖥:吐
-57.98898,31.797169,red,㖦:多言
-16.119368,41.899734,red,㖧:〔㖧㖧〕目所不见
26.763885,-51.632065,red,㖨:笑
-18.923727,49.431103,red,㖩:〔𡄑㖩〕见“𡄑”
10.439151,8.181095,red,㖪:隐身忽出吓人之声
-31.20105,-0.36598575,red,㖪:〔㖪㖪〕也作“嘓嘓”
52.589752,-17.116852,red,㖪:声
61.45238,1.9639436,red,㖫:我国古代少数民族人名译音用字
82.55847,22.83573,red,㖮:〔哩㖮囉〕叹词
-5.919588,0.89091223,red,㖵:〔大㖵喃國〕也作“大葛蘭國”
47.735973,-10.161787,red,㖶:语声
13.337844,-47.911987,red,㖶:噎
52.560204,-31.486797,red,㖷:鸟鸣
-12.676325,81.83267,red,㖸:方言
-13.226566,-15.727628,red,㖺:吹
40.566555,-18.323719,red,㖻:〔㖻呢〕小儿声
39.913715,29.557816,red,㖻:恶言
58.422047,5.666161,red,㖿:佛经译音用字，无实义
82.55847,22.83573,red,㖿:叹词
54.011444,-18.659403,red,㗀:〔㗀㗀〕虫鸣声
-31.742296,-6.9190154,red,㗂:缄口；慎言
-37.33887,4.0290313,red,㗄:〔㗄𠼟〕也作“库伦”
-21.392902,48.2199,red,㗅:〔㖤㗅〕见“㖤”
52.589752,-17.116852,red,㗆:雉鸣声
11.785519,-29.445,red,㗇:咽，吞咽
72.96377,36.460068,red,㗇:助词
44.075726,26.607868,red,㗉:锋利
42.711224,-16.466873,red,㗊:众口
17.885117,-8.468352,red,㗊:一种有机化合物名（porphie）
82.55847,22.83573,red,㗏:叹词
82.55847,22.83573,red,㗒:叹词
81.48337,21.388971,red,㗒:叹词
-14.004364,-28.44558,red,㗓:《五音集韻》陟佳切
29.47961,59.50807,red,㗔:欢乐
15.890835,-34.14771,red,㗕:喝㗕
22.628115,-43.829094,red,㗕:唱㗕
-15.113703,-30.782036,red,㗗:《集韻》班糜切
-15.462037,-55.447777,red,㗙:叱声
-17.656462,44.365547,red,㗙:〔喢㗙〕见“喢（shà）”
28.132412,17.728336,red,㗚:〔嘍㗚〕说话啰嗦
-57.98898,31.797169,red,㗢:多言
47.622368,-5.686214,red,㗢:大声歌唱
48.744385,-4.4713397,red,㗢:大声
8.123914,31.278196,red,㗤:〔㗤咨〕惭愧，局促不安的样子
53.434093,-20.685394,red,㗥:敲击声
33.365574,-25.004704,red,㗥:嘘
9.32477,6.300646,red,㗦:〔㗦嘈〕大而杂的声音
2.2313955,-48.624237,red,㗧:呵叱
15.037773,27.484701,red,㗧:〔㗧咄〕说话无节制
20.890606,-62.70861,red,㗨:笑貌
45.60215,-24.786795,red,㗨:笑声
51.389954,-17.297728,red,㗩:忍寒声
44.658447,-6.3388915,red,㗫:小声细语
-36.364796,-28.967728,red,㗬:厚嘴唇
46.84523,-39.35023,red,㗭:象声词
61.905334,3.45122,red,㗰:译音用字
9.617252,-30.086327,red,㗱:咀嚼
-13.935771,-49.292374,red,㗲:〔㗲嘖〕叫呼
7.690692,29.894762,red,㗳:忘怀的样子
61.618767,16.64706,red,㗳:〔㗳㗳〕形容词后缀
-5.758184,-15.58429,red,㗴:犬相争
29.034882,-21.952917,red,㗵:气
-8.480548,-24.058035,red,㗶:呵
39.522503,-18.672695,red,㗻:小儿相应声
-40.608925,20.319199,red,㗼:口动貌
-20.128345,55.736774,red,㗽:应声
48.75804,-16.008207,red,㗾:吐气声
30.931278,29.318844,red,㗿:〔詬㗿〕怒责；斥责
51.389954,-17.297728,red,㘀:〔㘀㘀〕声
-9.097174,-48.30912,red,㘁:川名
-14.922953,-55.368305,red,㘂:〔𠲻㘂〕愧貌
47.808273,-42.337795,red,㘄:象声词
-34.603413,1.9272757,red,㘆:〔㘆𠷂〕也作“𠷂㘆”
35.23072,-27.1803,red,㘇:啼
7.2119946,30.782913,red,㘈:小儿懂事的样子
-9.945544,26.297356,red,㘈:无闻见
51.389954,-17.297728,red,㘈:声
-18.923727,49.431103,red,㘉:〔咇㘉〕见“咇”
-34.60433,1.9273201,red,㘊:〔㘊霵〕也作“㘊𡅺”
51.389954,-17.297728,red,㘋:声
47.496563,-37.956028,red,㘍:象声词
48.744385,-4.4713397,red,㘐:大声
36.945812,1.3333776,red,㘑:咒语
8.854263,-34.4267,red,㘔:吃，啃嚼
34.197388,28.461897,red,㘖:〔㘖㘖〕争斗貌
48.894997,-37.05021,red,㘗:象声词
61.50904,-16.47698,red,㘙:呻吟
-14.507672,-53.68118,red,㘚:hǎn
20.455364,-15.8090515,red,㘛:少数民族乐曲名
5.3174715,-1.0242741,red,口:人和动物进饮食的器官，也是人和大部分动物发声的器官
1.769133,-2.538285,red,古:过去已久的年代；往昔
73.732025,28.382637,red,古:连词
-79.714516,20.28307,red,古:〔古成〕姓
23.713089,-21.118046,red,句:曲，弯曲
-34.59505,-0.9331854,red,句:〔句當〕今作“勾当”
52.98716,16.223995,red,句:语句；诗句
7.4059744,0.05180931,red,句:鞋头上的装饰
-1.949358,-1.9386336,red,另:分居
34.082695,-10.131934,red,叨:谦辞
-16.21271,-41.069645,red,叨:〔嘮叨〕见“嘮”
2.869479,-34.105366,red,叩:击，敲
54.986485,19.8851,red,只:语气词
-36.50119,3.9828584,red,只:作，做
-22.104166,-37.636898,red,只:“隻”的简化字
52.3457,-3.5507636,red,叫:呼喊
35.241093,-0.884239,red,召:召唤
-79.714516,20.28307,red,召:姓
50.062054,-36.8226,red,叭:象声词
3.1232982,-27.650045,red,叭:佛教“六字真言”之一
-18.07373,41.222233,red,叭:〔喇叭〕见“喇”
-9.879466,-33.648323,red,叮:〔叮嚀〕反复申说
-0.2522995,14.738955,red,可:表示许可、肯定
0.0068558045,-38.077354,red,可:女师
-32.015007,-0.78621083,red,可:〔可汗〕也作“可寒”、“合罕”
-28.111856,8.855473,red,台:我
16.964449,-45.755688,red,台:〔三台〕星名
22.820889,-29.628916,red,台:鱼名
16.766079,76.69223,red,台:地名
-29.969568,-35.34373,red,台:通“始（shǐ）”
49.860104,-1.962294,red,叱:大声呵斥、责骂
12.905784,-9.897883,red,史:古代文职官员
-44.607525,-18.992493,red,右:助，帮助
-1.8612894,-16.136885,red,右:右手
-44.607525,-18.992493,red,右:助，帮助
3.778939,29.324932,red,叴:〔叴叴〕傲气逼人貌
-12.610131,-5.5668764,red,叵:不可
-22.686522,-36.882477,red,叶:“葉”的简化字
49.599102,-3.6155553,red,号:大声哭
-6.2184563,3.4030063,red,司:掌管；主持
22.93361,9.565601,red,司:窥察；监视
-21.245115,-35.85017,red,叹:“嘆”的简化字
-22.083809,-22.25521,red,叺:《搜真玉鏡》：“叺，丑入切
-2.789064,-54.50486,red,叻:〔石叻〕马来语
51.36444,-38.30346,red,叻:象声词
-3.6958663,-6.787463,red,叼:用嘴衔住（物体的一部分）
-8.480548,-24.058035,red,叿:呵
80.58358,23.046513,red,吁:叹词
52.23972,-13.240141,red,吁:应答声
