Vector1,Vector2,Color,Meaning
16.897005,-4.9488034,red,㕣:山间泥沼地
48.150486,-1.8533558,red,㕦:大声；喧哗
-13.575379,-30.409191,red,㕧:《集韻》馨夷切
48.038406,-16.52038,red,㕩:打击声
-4.2958436,-62.254803,red,㕪:鸟叫声
-12.148614,27.38322,red,㕫:如闻
7.9819326,2.0818453,red,㕫:表示响度级的单位名
-15.657493,-29.94458,red,㕬:《集韻》沽紅切
46.041965,-22.929255,red,㕭:淫声
82.23057,22.910143,red,㕭:叹词
21.938292,-4.680106,red,㕮:〔㕮咀〕1.中医用语
41.133385,-11.528262,red,㕰:怒声
15.720448,-41.35279,red,㕱:狗叫
-5.437433,-3.2761235,red,㕲:塞口；满足食欲
-33.94744,1.0345243,red,㕲:〔㕲嗽〕也作“㕲潄”
-12.692048,81.96899,red,㕶:方言
42.063007,-17.825735,red,㕸:〔㕸㕸〕送舟声
51.160835,-17.874458,red,㖀:声
48.29148,14.231133,red,㖂:乐
-12.603627,-58.971367,red,㖃:盛怒声
15.482109,-54.490097,red,㖃:吐
-13.025794,-13.98431,red,㖅:口吹貌；口哨声
21.143997,11.065032,red,㖆:问罪；审讯
-60.243927,-14.690377,red,㖏:怒
16.426632,-39.91888,red,㖐:《川篇》羊委切
51.511585,-0.6528152,red,㖑:吆喝；呵斥
5.3576508,29.485786,red,㖔:痴呆的样子
8.823561,4.269742,red,㖕:〔咕㖕〕一种杂环有机化合物的名称
10.639505,14.158629,red,㖟:口头接受
35.661896,-27.113672,red,㖡:鸟夜鸣
-18.788326,-8.92241,red,㖤:〔㖤㗅〕1.怒貌
15.482109,-54.490097,red,㖥:吐
-58.167194,30.710506,red,㖦:多言
-16.451214,43.76164,red,㖧:〔㖧㖧〕目所不见
27.210022,-51.332504,red,㖨:笑
-18.474943,51.09939,red,㖩:〔𡄑㖩〕见“𡄑”
10.161947,8.092651,red,㖪:隐身忽出吓人之声
-33.32918,0.19720997,red,㖪:〔㖪㖪〕也作“嘓嘓”
50.560204,-17.948402,red,㖪:声
60.81129,2.4158394,red,㖫:我国古代少数民族人名译音用字
82.23057,22.910143,red,㖮:〔哩㖮囉〕叹词
-5.8901033,1.002408,red,㖵:〔大㖵喃國〕也作“大葛蘭國”
49.27051,-9.618697,red,㖶:语声
15.924425,-46.264366,red,㖶:噎
53.079365,-31.21798,red,㖷:鸟鸣
-12.692048,81.96899,red,㖸:方言
-12.8372,-15.410414,red,㖺:吹
40.7583,-21.61725,red,㖻:〔㖻呢〕小儿声
39.93226,28.588964,red,㖻:恶言
57.836388,6.25758,red,㖿:佛经译音用字，无实义
82.23057,22.910143,red,㖿:叹词
52.588898,-19.331139,red,㗀:〔㗀㗀〕虫鸣声
-30.413424,-5.3865943,red,㗂:缄口；慎言
-39.131203,5.1978245,red,㗄:〔㗄𠼟〕也作“库伦”
-20.253855,52.081097,red,㗅:〔㖤㗅〕见“㖤”
50.560204,-17.948402,red,㗆:雉鸣声
11.934437,-29.532866,red,㗇:咽，吞咽
72.765785,36.675797,red,㗇:助词
49.252613,34.433647,red,㗉:锋利
42.230793,-14.731815,red,㗊:众口
17.613197,-8.832208,red,㗊:一种有机化合物名（porphie）
82.23057,22.910143,red,㗏:叹词
82.23057,22.910143,red,㗒:叹词
81.14772,21.471062,red,㗒:叹词
-13.941536,-28.877794,red,㗓:《五音集韻》陟佳切
29.187672,59.223167,red,㗔:欢乐
14.937459,-35.278263,red,㗕:喝㗕
25.88159,-42.711258,red,㗕:唱㗕
-15.090584,-31.167606,red,㗗:《集韻》班糜切
-13.597839,-56.06809,red,㗙:叱声
-17.627214,46.35471,red,㗙:〔喢㗙〕见“喢（shà）”
26.994188,18.215986,red,㗚:〔嘍㗚〕说话啰嗦
-58.167194,30.710506,red,㗢:多言
47.201607,-3.0730376,red,㗢:大声歌唱
48.827293,-3.6274998,red,㗢:大声
7.048272,30.862196,red,㗤:〔㗤咨〕惭愧，局促不安的样子
51.103054,-21.276064,red,㗥:敲击声
37.496784,-32.55389,red,㗥:嘘
8.406585,5.8773656,red,㗦:〔㗦嘈〕大而杂的声音
2.9277546,-48.69344,red,㗧:呵叱
13.599033,27.255796,red,㗧:〔㗧咄〕说话无节制
20.24924,-62.80128,red,㗨:笑貌
57.642326,-22.019867,red,㗨:笑声
50.201485,-16.82544,red,㗩:忍寒声
44.63316,-5.9806814,red,㗫:小声细语
-38.1254,-30.659431,red,㗬:厚嘴唇
48.663315,-41.663784,red,㗭:象声词
61.262493,3.8977597,red,㗰:译音用字
9.966646,-29.72963,red,㗱:咀嚼
-13.641236,-49.574417,red,㗲:〔㗲嘖〕叫呼
6.9535956,29.28933,red,㗳:忘怀的样子
61.24362,16.890148,red,㗳:〔㗳㗳〕形容词后缀
-5.4084525,-13.950831,red,㗴:犬相争
32.474052,-21.181295,red,㗵:气
-8.131306,-25.185146,red,㗶:呵
39.84291,-22.28826,red,㗻:小儿相应声
-39.461308,22.136734,red,㗼:口动貌
-18.364756,57.781345,red,㗽:应声
50.193535,-19.574305,red,㗾:吐气声
30.278446,29.690477,red,㗿:〔詬㗿〕怒责；斥责
50.201485,-16.82544,red,㘀:〔㘀㘀〕声
-8.763393,-48.661873,red,㘁:川名
-14.429039,-55.57244,red,㘂:〔𠲻㘂〕愧貌
46.41035,-39.36446,red,㘄:象声词
-36.207066,3.015883,red,㘆:〔㘆𠷂〕也作“𠷂㘆”
38.247986,-24.937605,red,㘇:啼
6.135107,30.281605,red,㘈:小儿懂事的样子
-11.888252,27.919085,red,㘈:无闻见
50.201485,-16.82544,red,㘈:声
-18.474943,51.09939,red,㘉:〔咇㘉〕见“咇”
-37.41296,3.0390487,red,㘊:〔㘊霵〕也作“㘊𡅺”
50.201485,-16.82544,red,㘋:声
47.23767,-36.017715,red,㘍:象声词
48.827293,-3.6274998,red,㘐:大声
36.2535,-0.37211287,red,㘑:咒语
7.9971232,-34.21473,red,㘔:吃，啃嚼
33.19606,28.114307,red,㘖:〔㘖㘖〕争斗貌
49.791664,-40.12637,red,㘗:象声词
61.246655,-15.590714,red,㘙:呻吟
-13.278966,-53.427826,red,㘚:hǎn
20.434309,-16.5889,red,㘛:少数民族乐曲名
4.811402,-1.2343773,red,口:人和动物进饮食的器官，也是人和大部分动物发声的器官
1.0634623,-2.3797615,red,古:过去已久的年代；往昔
73.46346,28.576805,red,古:连词
-79.585304,20.049404,red,古:〔古成〕姓
24.219627,-21.139297,red,句:曲，弯曲
-36.84812,-0.3075614,red,句:〔句當〕今作“勾当”
52.378204,16.933516,red,句:语句；诗句
7.00298,-0.1885753,red,句:鞋头上的装饰
-2.121216,-2.6604218,red,另:分居
34.992527,-2.8465436,red,叨:谦辞
-15.945559,-41.580757,red,叨:〔嘮叨〕见“嘮”
2.003935,-33.057453,red,叩:击，敲
54.216988,20.446133,red,只:语气词
-38.80633,3.465356,red,只:作，做
-21.861303,-38.22202,red,只:“隻”的简化字
52.49588,-3.2160983,red,叫:呼喊
35.705475,1.9891756,red,召:召唤
-79.585304,20.049404,red,召:姓
50.02923,-41.66472,red,叭:象声词
2.9598825,-27.568241,red,叭:佛教“六字真言”之一
-18.854567,43.07446,red,叭:〔喇叭〕见“喇”
-10.437975,-34.495403,red,叮:〔叮嚀〕反复申说
-0.6026079,13.765599,red,可:表示许可、肯定
0.519843,-38.530746,red,可:女师
-34.158745,-0.29187366,red,可:〔可汗〕也作“可寒”、“合罕”
-29.227112,9.092801,red,台:我
19.74609,-45.416832,red,台:〔三台〕星名
23.214535,-27.181688,red,台:鱼名
17.376423,76.60387,red,台:地名
-29.781685,-35.569977,red,台:通“始（shǐ）”
50.172264,-1.258771,red,叱:大声呵斥、责骂
12.729359,-10.179863,red,史:古代文职官员
-43.759842,-19.014734,red,右:助，帮助
-2.250446,-15.339146,red,右:右手
