character,pinyin,similarity
詘,qū,0.7839945304976564
𧫝,𧫝shǎ,0.7839945304976564
誕,dàn,0.775484780075292
怫,fèi,0.7534941839950383
忙,áng,0.7310893334688164
愩,gōng,0.7290484763048556
言,yán,0.7264650961810628
借,jiè,0.7261419206455769
誣,wū,0.7116575196974172
話,huà,0.7099899298728911
譗,譗zhá,0.7034139208249466
恲,ēng,0.7010600939090881
𢛟,yà,0.7001032196935546
佰,bǎi,0.699955050874841
志,zhì,0.6992559502680253
仟,iān,0.6935670516533836
議,yì,0.6922582227945807
謵,xí,0.6874322102093343
詁,gǔ,0.6861980989423804
𧭼,𧭼chèn,0.686139106696398
讖,chèn,0.6850182279965453
詜,tāo,0.6831666901345576
嗽,suō（旧读shuò）,0.683011656305331
偮,偮jí,0.6821915020062091
謅,zhōu,0.6817723670556153
讒,chán,0.6803226054796226
註,hù,0.6794927135313171
訥,nè,0.6788014169297877
人,rén,0.6787403239485824
語,yǔ,0.6783349849265793
儒,rú,0.6773684810885636
伍,wǔ,0.6769196634764952
𧫥,𧫥ān,0.6763542370472998
噭,qiào,0.6757438532217425
𧨀,zuò,0.6728721320213426
憤,fèn,0.6703478205717314
𢜿,jià,0.6688123202278482
憳,tǎn,0.6688123202278482
怫,fèi,0.6688123202278482
㤸,xì,0.6688123202278482
傭,yōng（旧读yóng）,0.6681281796726919
䛩,wù,0.6679174906986011
𧥼,𧥼yún,0.66612926157044
訜,訜（一）fēn,0.66612926157044
情,qíng,0.6629548742268286
譖,zèn,0.6627705163906598
咡,èr,0.6616608406706193
誓,shì,0.6598370269409376
詵,shēn,0.6579539643983076
𧨾,𧨾shán,0.6560839294934171
䛽,chā,0.6546918221504338
咽,yān,0.6529989202772438
𧧶,𧧶tú,0.6495118570558072
𡁑,huā,0.6492016371893659
𠯗,zā,0.6464404807233427
譄,zēng,0.6458577453196117
喢,chè,0.6456430717842077
𧬫,𧬫jiǎn,0.6451505140246968
𧪣,𧪣zhēng,0.6451505140246968
䛗,zhǐ,0.6451087991829096
嗛,xián,0.6447073609698079
𢢗,zhuó,0.6446164802027502
佃,diàn,0.6443469640630246
𡁋,wěn,0.6437521305024088
𧨰,𧨰zhì,0.6424210940106526
讀,dú,0.641044698997477
㦫,zā,0.6403669166486643
㦢,ié,0.6403669166486643
喗,yǔn,0.6402527576803343
談,tán,0.6391084093073868
倚,yǐ,0.6386672683219016
訇,hōng,0.6386001447902095
詏,yào,0.6385764664460564
誁,bìng,0.6385764664460564
仙,xiān,0.637959424402475
𧬅,𧬅zhā,0.6377848771537361
譺,ài,0.6373024281638165
謉,duǐ,0.6372598362315327
䛥,xī,0.6355122705581278
吹,chuī,0.6347347100537382
心,xīn,0.6343857316377962
嚼,jiáo,0.6341011771074664
䜔,䜔suí,0.6337794482434583
𧭍,zhòu,0.63063475203912
諎,cuò,0.6301627220115207
䛬,táo,0.6301618814471915
儕,chái,0.6290761114698666
𧧒,cì,0.6280399199569806
㑟,㑟běng,0.6276150448137738
僕,pú,0.6270602300811917
喎,wāi,0.6267116606868751
𡅇,c髇g,0.6264003777237729
䛌,páo,0.626307167878719
讗,xié,0.6262754139642643
誵,誵xiáo,0.625634894635573
訐,jié,0.6243641573615369
訕,shàn,0.6239211175232577
嚼,jiào,0.6219451852308912
偣,偣yān,0.6204705019357007
誗,誗chán,0.6201728933713501
詡,xǔ,0.6199923076886072
儭,chèn,0.6197771744714887
欦,qiǎn,0.6188918445049498
𧥹,⁴𧥹fēng,0.618861829814513
叼,diāo,0.6179707834178946
𧫜,𧫜jì,0.6177080693862305
𧩣,𧩣nǎo,0.6176397323869888
忳,tún,0.6168847357342081
𧬆,𧬆zhǎn,0.6166153542024672
䛣,pīng,0.6166153542024672
䛭,䛭xìng,0.6166153542024672
䛭,xìng,0.6166153542024672
𧩼,zhǐ,0.6166153542024672
讜,dàng,0.6163165140471748
詷,dòng,0.6156749170107599
譀,hàn,0.6156749170107599
吮,shǔn,0.6146125652311698
喁,yóng,0.6140071411824505
謜,quán,0.6136135136534095
譯,yì,0.6129694899769094
𠋡,𠋡sì,0.6124861124492512
謒,謒qiāng,0.6114233819106967
儓,tái,0.6111348162145968
啄,zhuó,0.6109961593763595
悸,jì,0.6104962299556026
詞,cí,0.6104147443235353
愲,gǔ,0.610072182908269
嘺,qiào,0.6095057545249997
噅,uī,0.6095057545249997
𠰍,zhǔ,0.6095057545249997
𧭠,xiě,0.6089251640441354
説,shuì,0.6052086441486415
吐,tù,0.6042056244797284
詂,詂fù,0.6037204953633041
諰,shāi,0.6019847035472434
訮,yán,0.6017045566130048
讇,chǎn,0.6014952685910167
噎,yē,0.6012728616586971
忔,yì,0.6007655584948993
䛠,䛠dòu,0.6004939042727949
𢛜,nì,0.6001376590174363
諓,jiàn,0.5997994707454635
嚃,tà,0.5997683809786984
諄,zhūn,0.5984215687742892
傈,lì,0.5961599552944309
謆,謆shàn,0.5955902549450697
含,hán,0.5950322537096359
佅,mài,0.594630897689645
讜,dǎng,0.5943725907764432
伯,bó,0.593807481559474
䛴,jī,0.5919916268456427
們,men（旧读mén）,0.590702390240896
憫,mǐn,0.5900073712363963
俊,jùn,0.5886935788031364
俞,yù,0.5884853410574737
訶,hē,0.5882604945993577
俋,yì,0.5881970985868867
謘,chí,0.5871212844903174
仛,zhé,0.5870173435205872
悒,yì,0.5870036682670076
𧩮,sǒu,0.5855260575948765
倡,chāng,0.5853070342024731
㗇,xiá,0.5822563450667174
讉,yí,0.5820717449800963
憞,dùn,0.5816606457010393
吻,wěn,0.5815509709896691
唇,chún,0.5815509709896691
仁,rén,0.5815277875428418
倌,guān,0.5810790439411903
𧩹,yǐ,0.5801041462165535
㖅,xù,0.5800429116334332
仱,qín,0.579258218773079
謕,tí,0.579027153415636
伕,ū,0.5787732345192153
忐,tǎn,0.577435088668692
㒊,sè,0.5771975451289133
訟,sòng,0.5769808998579948
