㕣(yǎn): 山间泥沼地; 字数: 5
㕦(uà): 大声；喧哗; 字数: 4
㕧(xī): 《集韻》馨夷切; 字数: 5
㕩(pàng): 打击声; 字数: 3
㕪(ǎn): 鸟叫声; 字数: 3
㕫(fǎng): 如闻; 字数: 2
㕫(fēng): 表示响度级的单位名; 字数: 9
㕬(gōng): 《集韻》沽紅切; 字数: 5
㕭(āo): 淫声; 字数: 2
㕭(ào): 叹词; 字数: 2
㕮(fǔ): 〔㕮咀〕1.中医用语; 字数: 6
㕰(xuè): 怒声; 字数: 2
㕱(yóu): 狗叫; 字数: 2
㕲(huá): 塞口；满足食欲; 字数: 6
㕲(yé): 〔㕲嗽〕也作“㕲潄”; 字数: 6
㕶(None): 方言; 字数: 2
㕸(lì): 〔㕸㕸〕送舟声; 字数: 5
㖀(lè): 声; 字数: 1
㖂(ì): 乐; 字数: 1
㖃(hòu): 盛怒声; 字数: 3
㖃(hòu): 吐; 字数: 1
㖅(xù): 口吹貌；口哨声; 字数: 6
㖆(ū): 问罪；审讯; 字数: 4
㖏(iè): 怒; 字数: 1
㖐(wěi): 《川篇》羊委切; 字数: 5
㖑(iè): 吆喝；呵斥; 字数: 4
㖔(tǔn): 痴呆的样子; 字数: 5
㖕(xīn): 〔咕㖕〕一种杂环有机化合物的名称; 字数: 14
㖟(hòu): 口头接受; 字数: 4
㖡(yè): 鸟夜鸣; 字数: 3
㖤(hán): 〔㖤㗅〕1.怒貌; 字数: 4
㖥(ùn): 吐; 字数: 1
㖦(dǒng): 多言; 字数: 2
㖧(hūn): 〔㖧㖧〕目所不见; 字数: 6
㖨(ù): 笑; 字数: 1
㖩(jū): 〔𡄑㖩〕见“𡄑”; 字数: 4
㖪(huò): 隐身忽出吓人之声; 字数: 8
㖪(guó): 〔㖪㖪〕也作“嘓嘓”; 字数: 6
㖪(xù): 声; 字数: 1
㖫(líng): 我国古代少数民族人名译音用字; 字数: 14
㖮(l鷑): 〔哩㖮囉〕叹词; 字数: 5
㖵(g?): 〔大㖵喃國〕也作“大葛蘭國”; 字数: 10
㖶(yān): 语声; 字数: 2
㖶(yè): 噎; 字数: 1
㖷(shí): 鸟鸣; 字数: 2
㖸(niā): 方言; 字数: 2
㖺(chǔn): 吹; 字数: 1
㖻(niú): 〔㖻呢〕小儿声; 字数: 5
㖻(ròu): 恶言; 字数: 2
㖿(xié): 佛经译音用字，无实义; 字数: 9
㖿(yé): 叹词; 字数: 2
㗀(ōu): 〔㗀㗀〕虫鸣声; 字数: 5
㗂(shěng): 缄口；慎言; 字数: 4
㗄(kū): 〔㗄𠼟〕也作“库伦”; 字数: 6
㗅(ú): 〔㖤㗅〕见“㖤”; 字数: 4
㗆(é): 雉鸣声; 字数: 3
㗇(xiá): 咽，吞咽; 字数: 3
㗇(ya): 助词; 字数: 2
㗉(lüè): 锋利; 字数: 2
㗊(jí): 众口; 字数: 2
㗊(léi): 一种有机化合物名（porphie）; 字数: 15
㗏(wāi): 叹词; 字数: 2
㗒(ài): 叹词; 字数: 2
㗒(éi）): 叹词; 字数: 2
㗓(zhuī): 《五音集韻》陟佳切; 字数: 7
㗔(qiān): 欢乐; 字数: 2
㗕(gòu): 喝㗕; 字数: 2
㗕(gōu): 唱㗕; 字数: 2
㗗(bēi): 《集韻》班糜切; 字数: 5
㗙(chū): 叱声; 字数: 2
㗙(nà): 〔喢㗙〕见“喢（shà）”; 字数: 7
㗚(lì): 〔嘍㗚〕说话啰嗦; 字数: 6
㗢(hóng): 多言; 字数: 2
㗢(dòng): 大声歌唱; 字数: 4
㗢(hòng): 大声; 字数: 2
㗤(ù): 〔㗤咨〕惭愧，局促不安的样子; 字数: 11
㗥(kuò): 敲击声; 字数: 3
㗥(guō): 嘘; 字数: 1
㗦(láo): 〔㗦嘈〕大而杂的声音; 字数: 8
㗧(zhì): 呵叱; 字数: 2
㗧(dié): 〔㗧咄〕说话无节制; 字数: 7
㗨(xiē): 笑貌; 字数: 2
㗨(ǎi): 笑声; 字数: 2
㗩(xī): 忍寒声; 字数: 3
㗫(qiè): 小声细语; 字数: 4
㗬(zhā): 厚嘴唇; 字数: 3
㗭(xī): 象声词; 字数: 3
㗰(c髇g): 译音用字; 字数: 4
㗱(jí): 咀嚼; 字数: 2
㗲(huò): 〔㗲嘖〕叫呼; 字数: 4
㗳(tǎ): 忘怀的样子; 字数: 5
㗳(dā): 〔㗳㗳〕形容词后缀; 字数: 7
