汉字,笔画,反切,拼音,释义总个数
㣻,6,魚肺切,ài,2
㣾,6,初訝切,chà,1
㣿,6,之若切 都了切,zhuó diǎo,5
㤃,7,敷方切,áng,1
㤄,7,普蓋切,pèi,1
㤅,8,烏代切 許既切 居吏切,ài xì jì,1
㤆,7,芳萬切 方願切,fàn fàn àn,7
㤇,7,烏晧切,o,1
㤈,7,七鴆切,qìn,1
㤉,7,苦加切 魚駕切,qiā yà,2
㤋,7,非奔切 音忿,fēn fèn,1
㤌,8,沽三切,gān,1
㤍,9,口交切 口教切,qiāo qiǎo,1
㤎,9,古俄切,ē,2
㤏,8,徒冬切,tóng,1
㤒,8,古勞切,āo,2
㤓,8,部本切,bèn,1
㤔,8,符遇切,fù,1
㤕,8,丑律切 普没切,chù pò,2
㤖,8,丈吕切,zhù,1
㤚,9,寒剛切,háng,1
㤝,9,昌終切,chōng,1
㤞,9,抽加切 徒落切 直格切,chà duó zé,6
㤠,10,良薛切,liè,1
㤡,9,力制切 力蘖切,lì liè,1
㤢,9,乙六切,yù,1
㤥,9,胡㮣切,hài,1
㤦,9,良志切,lì,1
㤧,9,胡溝切,hóu,1
㤨,9,居悚切,gǒng,1
㤮,11,居况切,guàng,3
㤯,10,滑永切,iǒng,2
㤱,10,敷救切 大透切,fù dòu,2
㤲,11,苦協切,qiè,1
㤳,10,布亥切,běi,1
㤴,10,丑輒切 叱涉切 失涉切 的協切,chè chè shè dié,5
㤶,10,莫江切 尨巷切,máng màng,2
㤷,10,呼含切,hān,1
㤸,10,許激切,xì,1
㤻,11,盧本切,lǔn,2
㤾,11,蘇紺切 他紺切,sàn tàn,1
㤿,11,一鹽切,ān,3
㥀,11,音集,zhí dé,1
㥂,11,他德切,è,3
㥄,11,力膺切,íng,2
㥅,11,是酉切,hòu,2
㥆,11,他内切,tuì,3
㥇,11,財干切,cán,1
㥈,12,徒協切,dié,1
㥊,11,薄萌切 披耕切,péng pēng,1
㥋,12,於希切,yī,1
㥌,11,居六切,jú,1
㥏,11,他典切,tiǎn,1
㥒,11,倉宰切 倉來切,cǎi cāi,3
㥓,11,去奇切,qī,1
㥔,11,余六切,yù,1
㥖,12,倉紅切,cōng,1
㥚,12,容朱切 勇主切,yú yǔ,2
㥛,12,紀力切 克革切,jí kè,3
㥜,12,于貴切,èi,2
㥝,12,綿婢切,mǐ,1
㥞,12,雖遂切,suì,1
㥟,12,户佳切,xié,1
㥡,12,丑二切,chì,1
㥢,12,自秋切 將由切,qiú jiū,4
㥥,12,元俱切,yú,2
㥨,13,時髓切 尹捶切,shuì wěi,2
㥩,12,東果切,duǒ,1
㥬,13,蒲光切,páng,1
㥮,13,,zhòu（旧读chǎo）,2
㥯,14,於謹切,yǐn,2
㥰,13,蘇遭切,sāo,1
㥳,13,愚袁切,yuán,1
㥴,13,弋支切 田黎切,yí tí,2
㥼,14,於靳切 於虔切,yìn yān,2
㥽,14,楚革切 側革切,cè zé,2
㥾,14,女力切,nì,1
㦀,14,音逢,éng,2
㦁,15,力延切 力展切,lián liǎn,2
㦃,14,初限切,hǎn,2
㦅,14,徒結切,diē dì（旧读chài）,1
