汉字,笔画,反切,拼音,释义总个数
㰝,7,余耳切,yǐ,1
㰟,8,居乙切 丘既切,jì qì,3
㰠,8,呼郎切,hāng,1
㰢,8,口莖切,ēng,2
㰣,9,即移切,zī,3
㰤,9,呼箇切 企夜切,hē qiè,4
㰥,9,呼計切 呼世切 呼惠切,xì xì huì,3
㰦,9,丘倨切,qù,1
㰧,9,呼來切,hāi,1
㰨,9,火佳切,xiē,1
㰪,10,古携切,uī,2
㰫,10,恥南切,hān,2
㰬,10,相倫切,ún,2
㰭,10,況于切,xū,1
㰮,11,時忍切,shèn,1
㰯,11,他候切 他口切 呼漏切,tòu tǒu hòu,4
㰰,11,呼洽切 詰叶切 呼合切,xià qiè hè,3
㰲,12,於六切 況逼切,yù xù,3
㰳,12,衣嫁切 於加切,yà yā,3
㰴,12,匹候切,pǒu,1
㰵,12,子聿切,ú,2
㰶,12,於糾切 平表切,yǒu ǒu,2
㰹,13,許咸切 許鑒切 虎感切,xiān xiàn hǎn,3
㰺,13,亥駕切 何加切,xià xiá,2
㰻,13,於几切 虚其切 許候切,yǐ xī hòu,3
㰼,13,山輒切 詰叶切,shà qiè,2
㰽,13,於建切,àn,2
㰾,13,古弔切,jiào,2
㰿,14,馨奚切,xī,1
㱁,14,思萃切,suì kuǎn,1
㱂,15,苦岡切,kāng,3
㱄,16,呼北切 密北切,hēi mò,2
㱆,17,虚宜切,xī,1
㱇,17,所力切 迄力切,sè xì,2
㱈,17,渠飲切,jìn,1
㱊,19,於求切,ōu,1
㱋,20,苦角切,què,1
㱌,22,於業切 尺涉切,yè chè,2
㱍,23,落官切,luán,2
㱎,25,古渾切,kūn,1
欠,4,去劍切,qiàn qian,7
次,6,七四切 資四切 津私切 才資切,cì cì zī cí,23
欣,8,許斤切,xīn,5
欥,8,餘律切 弋質切,yù yì,2
欦,8,丘嚴切 呼含切 許兼切 丘广切,qiān hān xiān qiǎn,5
欨,9,況于切,xū,2
欩,9,敕宵切,chāo,1
欪,9,丑律切 敕栗切 𨵙吉切,chù xì qù,4
欬,10,苦愛切 於犗切,kài ài,1
欭,10,乙冀切 伊真切,yì yīn,3
