character,pinyin,similarity
噭,qiào,0.8388582852416654
詏,yào,0.7958468326024559
誁,bìng,0.7958468326024559
忙,áng,0.7793649180101188
𡁋,wěn,0.7690754590645834
咡,èr,0.751056379303123
𡁑,huā,0.7479269641468107
詜,tāo,0.7459118640823144
愩,gōng,0.7438425710061245
嗛,xián,0.7361578596642969
言,yán,0.7343202753575827
喢,chè,0.7314286854268159
詁,gǔ,0.7261601119445462
誗,誗chán,0.7221563144182106
䛩,wù,0.7175646103108989
嗽,suō（旧读shuò）,0.7157548301351889
䛽,chā,0.71442953241336
怫,fèi,0.7114908954409933
憤,fèn,0.7114187930585635
噣,zhòu,0.7106865445831538
咮,zhòu,0.7106865445831538
喗,yǔn,0.7069361180005217
𧭠,xiě,0.7046706617971733
𧨾,𧨾shán,0.703393958534102
噤,jìn,0.699605769937897
誕,dàn,0.6963912763546677
讒,chán,0.6959235039198339
𡅇,c髇g,0.6958468983305696
吪,huā,0.690504328194389
訇,hōng,0.6892603758575894
吮,shǔn,0.6880383634249356
䛭,䛭xìng,0.6776754113725402
䛭,xìng,0.6776754113725402
𧬆,𧬆zhǎn,0.6776754113725402
𧩼,zhǐ,0.6776754113725402
䛣,pīng,0.6776754113725402
𧫜,𧫜jì,0.6770959504348452
𢜿,jià,0.6756763851732253
憳,tǎn,0.6756763851732253
㤸,xì,0.6756763851732253
怫,fèi,0.6756763851732253
㥢,jiū,0.6746211650474494
𢘄,qiú,0.6746211650474494
譀,hàn,0.6726089909536994
詷,dòng,0.6726089909536994
詂,詂fù,0.6691657268505957
愲,gǔ,0.6670619864345642
𠰍,zhǔ,0.662673053609405
噅,uī,0.662673053609405
嘺,qiào,0.662673053609405
譖,zèn,0.6613886195265343
恲,ēng,0.6600803675733297
讇,chǎn,0.6594573570553114
𧫥,𧫥ān,0.6580302964672899
𠯗,zā,0.6564385327631926
詡,xǔ,0.6561687595814821
詵,shēn,0.6553129372041056
讗,xié,0.6526934186374989
喁,yóng,0.6517432510976563
䛏,nì,0.6516011988471988
𧭼,𧭼chèn,0.6507887684594185
志,zhì,0.6494462924451757
叼,diāo,0.6481040163996541
𧨰,𧨰zhì,0.6476572442117114
𢢗,zhuó,0.646776858724028
䛩,qià,0.642529703748611
譧,lián,0.642529703748611
誽,ná,0.642529703748611
訑,tuǒ,0.642529703748611
誵,誵xiáo,0.6390674345894501
悒,yì,0.6359898679247309
啄,zhuó,0.6357688338219237
忔,yì,0.6346630266414479
悸,jì,0.6340564393319995
情,qíng,0.6326387903642217
㤉,yà,0.6324054163648729
憫,mǐn,0.6293947342815001
誣,wū,0.6290542809143564
諓,jiàn,0.6282037237092646
㖅,xù,0.6265546890951601
譑,qiào,0.6262752586472449
憞,dùn,0.6251729062653018
𢛟,yà,0.6239475308689579
䛠,䛠dòu,0.6239003502326935
諀,bēi,0.6236358818439269
㦫,zā,0.6228070316671847
㦢,ié,0.6228070316671847
讖,chèn,0.6219384886849253
