character,pinyin,similarity
平均相似度,,0.30449524732731226
欠,qiàn,0.5888476200535506
欽,qīn,0.5603518396518575
欠,qian,0.5583519352836879
欦,qiǎn,0.5444352888292909
欷,xī,0.5263183408636614
𣢖,qiàn,0.5034281360001615
歔,xū,0.49960454582806685
歉,qiàn,0.48561721041941674
㱂,kāng,0.48331161188376315
𣢰,cù,0.4656475175145472
㰿,xī,0.45708329957894556
𣣲,xié,0.4546509230881588
欨,xū,0.44684228127323256
㰮,shèn,0.4427482010285794
㰯,tòu,0.4425733022127465
㱆,xī,0.43880644948086955
㰶,yǒu,0.43831853934786874
㰰,hè,0.43693899480140436
欪,chù,0.4350470996514518
歍,yāng,0.43223902846118606
㰽,àn,0.42918681790252194
𣢇,hāi,0.42844649886226177
歒,tì,0.42835787000177294
歌,gē,0.42237382981430127
𣢥,diàn,0.42107937538554724
欲,yù,0.41699275516438944
歃,shà,0.4150558114312141
欶,shuò,0.4140900233722108
㰢,ēng,0.41268872858234573
𣢐,kēng,0.41268872858234573
欸,āi,0.4123908390005814
歁,kǎn,0.41102181696584617
歇,xiē,0.4064650571890619
𣢶,chù,0.40245574859514727
𣤨,huò,0.40239193690226827
㰝,yǐ,0.40214540933949533
欬,kài,0.40214540933949533
𣢝,xìng,0.401567694137706
歏,jìn,0.39843182322154763
𣤩,chì,0.397671474876269
歁,qiǎn,0.3975474444935251
𣢑,xī,0.3948449457935382
㱋,què,0.3944299653035989
欻,xū,0.39245808396754156
歆,xīn,0.39180118936277075
𣤃,ǎi,0.3909961603487133
㱇,xì,0.38948200556453644
𣤡,xiào,0.38948200556453644
㰥,huì,0.3889119548214723
欯,xì,0.3875366730275573
𣢜,yǒu,0.38576626819112725
㰴,pǒu,0.3855536677463487
歍,wū,0.38259233980101454
㱄,hēi,0.3808870264808329
𣤖,tì,0.3808870264808329
㰰,xià,0.38087212770140527
㱊,ōu,0.3786733386350927
歠,chuò,0.3766246049592968
𣢭,yí,0.3766246049592968
𣤌,chuài,0.37569356083367994
𣤢,xì,0.3737550652517501
㰵,ú,0.371982275642025
𣣌,sì,0.370994208210054
𣣉,xì,0.3661780059035741
𣣳,yáo,0.366078718309291
𣣭,shè,0.36523286692810125
歞,è,0.36274007897122434
𣢟,xián,0.3614398650991844
𣢐,qīn,0.3588778147744716
歋,yé,0.3571236971730872
𣢷,ǒu,0.3560026870884945
㰹,xiàn,0.35521188099385087
欱,hē,0.35512513490472836
㰤,qiè,0.3546535408089068
次,zī,0.3543326205374752
欦,qiān,0.3531382394827615
𣢺,ān,0.3531382394827615
㰟,jì,0.3527360494303242
𣢬,iān,0.3504145314524846
𣢲,qiān,0.3504145314524846
歊,xiāo,0.350240434891812
㰥,xì,0.34948161550817675
㰦,qù,0.34870575531793435
欪,qù,0.34856333436880715
𣤊,lā,0.3477078744563896
次,cì,0.34743997482489886
𣤯,shú,0.34333376912510233
㱌,chè,0.3427371860326769
款,xīn,0.342526896005478
欣,xīn,0.34181864465792927
𣣜,yǒu,0.3397290897685467
𣢤,zhān,0.33756549940945674
㱇,sè,0.3365336073719158
㰯,tǒu,0.33606511624484087
歑,hū,0.3354762682006618
歜,zàn,0.3351997688190281
𣤶,zàn,0.3351997688190281
