character,pinyin,similarity
平均相似度,,0.3434808350012149
怫,fèi,0.7534941839950383
忙,áng,0.7310893334688164
愩,gōng,0.7290484763048556
恲,ēng,0.7010600939090881
𢛟,yà,0.7001032196935546
志,zhì,0.6992559502680253
憤,fèn,0.6703478205717314
㤸,xì,0.6688123202278482
怫,fèi,0.6688123202278482
憳,tǎn,0.6688123202278482
𢜿,jià,0.6688123202278482
情,qíng,0.6629548742268286
𢢗,zhuó,0.6446164802027502
㦢,ié,0.6403669166486643
㦫,zā,0.6403669166486643
心,xīn,0.6343857316377962
忳,tún,0.6168847357342081
悸,jì,0.6104962299556026
愲,gǔ,0.610072182908269
忔,yì,0.6007655584948993
𢛜,nì,0.6001376590174363
憫,mǐn,0.5900073712363963
悒,yì,0.5870036682670076
憞,dùn,0.5816606457010393
忐,tǎn,0.577435088668692
懕,yè,0.573750552146618
懚,ìn,0.5731919682988227
懣,mèn,0.5731919682988227
懪,ó,0.5731919682988227
㤉,yà,0.5731162127838346
𢝉,dā,0.5724156941411817
忐,kěng,0.5675464735436019
懽,guàn,0.5657161621159437
惄,nì,0.5647994385884717
怛,dá,0.5647128114902956
忪,zhōng,0.5621250118790909
㦊,huá,0.5607462251560169
憪,xián,0.5587392242191983
悶,mèn,0.5585389205099921
惻,cè,0.5566057988019876
愍,mǐn,0.5566057988019876
𢠼,mái,0.5525954105733241
慛,cuī,0.5519675342617856
慼,ī,0.5519675342617856
息,xī,0.5514669851332932
㤝,chōng,0.550339384242126
怚,cū,0.5498715426262066
𢙿,jìn,0.5495622375145377
愖,xìn,0.5457940670654289
惴,zhuì,0.5445283382708791
悝,lǐ,0.5435340719481484
慇,yīn,0.5435340719481484
𢖳,xū,0.5435340719481484
忚,liě,0.5427628271359286
慅,sāo,0.5377913619443516
㤈,qìn,0.5340497745931075
怊,chāo,0.5340497745931075
愴,chuàng,0.5340497745931075
懆,cǎo,0.5332312027657016
愓,shāng,0.5331296689084911
𢡁,xī,0.5305495202062971
𢟳,lǜ,0.5284041797379971
懰,liú,0.5271893761492031
㦩,ǐn,0.5246789382633256
懕,yān,0.5245541488800258
𢤰,iè,0.5244157230575583
愓,táng,0.5238798146054868
㤕,pò,0.5236106943009122
𢠺,bó,0.5236106943009122
惆,chóu,0.5236018549704066
惝,hǎng（又读tǎng）,0.5236018549704066
愁,chóu,0.5230411474230076
忑,tè,0.5224439945148284
忑,dǎo,0.5224439945148284
愉,yú,0.5216653301539894
𢘉,xiá,0.5216653301539894
愍,fēn,0.5195401372558356
慖,uó,0.5195401372558356
憹,náng,0.5195401372558356
𢜲,ná,0.5195401372558356
𢞇,rě,0.5195401372558356
𢤩,lì,0.5194115746732272
憕,zhèng,0.5172060424073629
㤉,qiā,0.5170480430666288
怌,ēi,0.5170480430666288
怐,jù,0.5170480430666288
怵,xù,0.5170480430666288
怶,pī,0.5170480430666288
恫,dòng,0.5170480430666288
悎,hào,0.5170480430666288
悚,sǒng,0.5170480430666288
惵,dié,0.5170480430666288
惶,huáng,0.5170480430666288
愯,sǒng,0.5170480430666288
慴,shè（旧读zhé）,0.5170480430666288
懼,jù,0.5170480430666288
𢛒,chǒng,0.5170480430666288
𢠹,sī,0.5170480430666288
𢦈,mán,0.5170480430666288
恇,kuāng,0.5165518294327714
態,tài,0.5161824619791505
悖,bèi,0.5152996251809745
惑,huò,0.5145340020441923
悽,qī,0.5143890527467878
㤋,fēn,0.5123830282815302
悕,ī,0.5097573975808062
慟,tòng,0.5089776589915022
忶,ún,0.5083798488250735
