word,count
姓,327
貌,214
方言,129
人,124
声,93
声音,53
忧愁,49
恐惧,42
地名,39
多言,39
说话,33
大声,30
喜悦,28
少数民族,27
欺骗,24
佛教,24
怨恨,24
小儿,22
不安,20
恭敬,19
悲伤,19
美好,17
乐器,17
笑貌,17
呕吐,16
忧伤,16
古国,15
事物,15
传说,15
叹息,15
畏惧,15
谨慎,15
失意,14
食物,14
惭愧,14
责备,14
害怕,14
欺诈,13
佛经,12
文体,12
轻薄,12
古时,12
不止,12
喧哗,12
用语,12
歌唱,12
术语,11
乐曲,11
旧称,11
恭谨,11
鸟声,11
气逆,11
思念,11
懈怠,10
凭借,10
中医,10
祭祀,10
戏谑,10
官吏,10
和谐,10
呵斥,10
语声,10
鸣叫,10
愤怒,10
心动,10
忧虑,10
省称,9
古县,9
放纵,9
惊恐,9
急促,9
文字,9
悲痛,9
不明,9
鸟鸣,9
笑声,9
呻吟,9
询问,9
憎恶,9
争辩,9
谋划,9
解释,9
规劝,9
长貌,8
辅助,8
名称,8
死者,8
公文,8
傲慢,8
聪慧,8
痴呆,8
过失,8
帮助,8
辅佐,8
毁谤,8
愚蠢,8
教导,8
满足,8
记载,8
阻塞,8
大笑,8
吹气,8
呼喊,8
真言,8
应答,8
喘息,8
吵闹,8
嘴唇,8
感情,8
咳嗽,8
引诱,8
忘记,8
哀怜,8
烦闷,8
惧怕,8
指责,8
无实义,7
固执,7
使用,7
身体,7
人为,7
敬辞,7
部分,7
水名,7
春秋,7
发出,7
命令,7
官名,7
音译,7
依赖,7
违背,7
弯曲,7
休息,7
停止,7
梵文,7
乖戾,7
告诫,7
地方,7
思想,7
羞惭,7
考虑,7
杂乱,7
怒声,7
小声,7
怒貌,7
咀嚼,7
咒语,7
LINK,7
父母,7
疾病,7
众声,7
语言,7
快乐,7
聪明,7
贪欲,7
直言,7
谈论,7
评议,7
轻佻,6
愚笨,6
心服,6
感觉,6
孤独,6
配偶,6
依照,6
担任,6
依靠,6
一般,6
意思,6
相信,6
编制,6
物体,6
居住,6
星名,6
称呼,6
众多,6
谄媚,6
行走,6
之间,6
方向,6
夸大,6
诚恳,6
疾速,6
对方,6
国名,6
诚实,6
警戒,6
变化,6
痴貌,6
喜乐,6
用力,6
梵语,6
奇异,6
不平,6
古称,6
比喻,6
诋毁,6
忧思,6
不知,6
呼吸,6
协调,6
叫声,6
鸟叫声,6
有机,6
化合物,6
动物,6
饮食,6
发声,6
六字,6
揭发,6
喧闹,6
不能,6
忧貌,6
赞美,6
清楚,6
高兴,6
迷惑,6
胆怯,6
心情,6
忧惧,6
谴责,6
虚伪,5
厉害,5
漂亮,5
事理,5
怜悯,5
倾斜,5
内心,5
泛指,5
同伴,5
同类,5
介绍,5
仗恃,5
寄托,5
军队,5
鸟名,5
认为,5
以为,5
从事,5
上级,5
第二,5
计算,5
仿效,5
效法,5
相当于,5
得到,5
夸耀,5
欢乐,5
戏弄,5
迟钝,5
给予,5
等待,5
一个,5
停留,5
别称,5
发生,5
大貌,5
轻视,5
一起,5
庄重,5
行貌,5
无知,5
敏捷,5
时间,5
机灵,5
诉讼,5
歌谣,5
知晓,5
背诵,5
出来,5
侦察,5
高大,5
谦辞,5
姿态,5
具备,5
聚集,5
烦恼,5
不足,5
开玩笑,5
充足,5
众口,5
恶言,5
吞咽,5
口动貌,5
应声,5
吐气,5
斥责,5
适合,5
礼仪,5
吝啬,5
吝惜,5
体裁,5
出声,5
不通,5
六十四,5
